Common Name,KWT,Maximum Canopy Space,Primary ID,Scientific Name,Town / Parish
Red maple 'Brandywine',0101000020110F00005BB7E7F24CC900C1CEA68A8859C35941,>6m ≤12m Diameter,4761,Acer rubrum 'Brandywine' ,Oxford City Area (Unparished)
Hornbeam,0101000020110F00000D8C1C5CE49901C1B8F4EA7773CA5941,>12m Diameter,4699,Carpinus betulus,Oxford City Area (Unparished)
California redwood,0101000020110F0000EEC51E588D6701C15ADF97EE57CB5941,>6m ≤12m Diameter,4698,Sequioa sempervirens,Oxford City Area (Unparished)
Silver birch,0101000020110F0000AB0A7163AD6801C120B2474B4ECB5941,>12m Diameter,4697,Betula pendula,Oxford City Area (Unparished)
Paperbark maple,0101000020110F00007DDA30A2B98301C1F885F40AB7CA5941,≤6m Diameter,4662,Acer griseum,Oxford City Area (Unparished)
Downy mespilus 'Robin Hill',0101000020110F0000E2918A51AD9100C108B2B50A90BF5941,≤6m Diameter,3817,Amelanchier arborea 'Robin Hill',Littlemore CP
River Birch,0101000020110F0000E61ED1ECE29000C1224083518BBF5941,>6m ≤12m Diameter,3813,Betula nigra,Littlemore CP
Midland Hawthorn 'Crimson Cloud',0101000020110F00000C10A5FAE19700C1A72E9AB297BF5941,≤6m Diameter,3809,Crataegus laevigata 'Crimson Cloud' ,Littlemore CP
Japanese white birch 'Dakota Pinnacle',0101000020110F0000245D7A75759900C1ACC0E78F9BBF5941,≤6m Diameter,3807,Betula platyphylla 'Dakota Pinnacle' ,Littlemore CP
Winter flowering cherry,0101000020110F00005F874D0EC79A00C163541177A5BF5941,≤6m Diameter,3803,Prunus x subhirtella 'Autumnalis',Littlemore CP
Worplesdon sweet gum,0101000020110F00003FBC41EC520001C15487021C3EC25941,>6m ≤12m Diameter,3059,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished)
Redbud 'Forest Pansy',0101000020110F0000E5275DF5744500C19F220F09FCC45941,>6m ≤12m Diameter,2685,Cercis canadensis 'Forest Pansy',Risinghurst and Sandhills CP
